4	10	100	1																
0	200																		
0	40	50	0	0	0	0	0	1236											
1	45	68	90	10	1	1	3	3	58	232	358	797	897						
2	45	70	90	30	1	1	6	14	71	243	318	477	675	728	782	810	935	1046	1155
3	42	66	90	10	1	1	5	9	94	55	157	242	324	436	515	705	873		
4	42	68	90	10	1	1	6	4	83	236	364	526	584	593	729	783	923	1058	1128
5	42	65	90	10	1	1	3	6	188	335	464	595	651						
6	40	69	90	20	1	1	4	7	105	257	444	560	696	800	919				
7	40	66	90	20	1	1	4	19	76	152	244	253	328	464	596				
8	38	68	90	20	1	1	4	1	123	211	369	310	379	495	586				
9	38	70	90	10	1	1	4	5	65	214	365	420	534	486	566				
10	35	66	90	10	1	1	4	15	214	365	547	715	838	975	1037				
11	35	69	90	10	1	1	2	7	157	315	478								
12	25	85	90	20	1	1	3	6	138	306	357	530	687						
13	22	75	90	30	1	1	5	2	163	320	384	539	631	782	918	1045	1206		
14	22	85	90	10	1	1	3	15	79	180	252	372	459						
15	20	80	90	40	1	1	4	14	102	275	399	381	435	513	644				
16	20	85	90	40	1	1	4	9	188	238	388	328	410	526	679				
17	18	75	90	20	1	1	3	8	114	280	421	636	746						
18	15	75	90	20	1	1	3	3	145	254	433	508	688						
19	15	80	90	10	1	1	5	3	140	321	390	425	581	509	617	768	886		
20	30	50	90	10	1	1	4	0	52	236	321	486	677	812	957				
21	30	52	90	20	1	1	4	4	117	218	374	519	712	869	1056				
22	28	52	90	20	1	1	3	11	85	264	405	784	912						
23	28	55	90	10	1	1	5	6	143	306	423	555	617	723	787	768	913		
24	25	50	90	10	1	1	3	6	172	304	450	625	715						
25	25	52	90	40	1	1	3	18	81	117	277	263	435						
26	25	55	90	10	1	1	6	8	109	288	347	452	543	589	735	732	916	1089	1232
27	23	52	90	10	1	1	3	9	127	272	353	459	556						
28	23	55	90	20	1	1	3	2	72	237	386	542	598						
29	20	50	90	10	1	1	3	8	184	294	470	302	368						
30	20	55	90	10	1	1	4	11	210	389	576	682	815	947	1116				
31	10	35	90	20	1	1	6	9	127	243	324	432	573	511	685	749	888	1013	1077
32	10	40	90	30	1	1	6	4	104	266	358	520	650	732	838	797	913	1047	1124
33	8	40	90	40	1	1	5	10	66	262	461	578	771	961	1117	1232	1330		
34	8	45	90	20	1	1	4	7	111	260	345	458	512	710	808				
35	5	35	90	10	1	1	4	15	129	242	305	468	588	747	854				
36	5	45	90	10	1	1	4	5	147	291	396	521	572	679	763				
37	2	40	90	20	1	1	3	8	77	204	365	344	470						
38	0	40	90	30	1	1	5	8	168	259	371	344	514	698	857	1042	1149		
39	0	45	90	20	1	1	5	2	123	173	267	280	353	517	707	825	991		
40	35	30	90	10	1	1	3	13	144	242	344	319	399						
41	35	32	90	10	1	1	5	11	180	104	298	370	435	573	762	947	1053		
42	33	32	90	20	1	1	5	11	117	221	413	533	612	758	947	1063	1180		
43	33	35	90	10	1	1	2	5	141	268	349								
44	32	30	90	10	1	1	2	9	175	303	405								
45	30	30	90	10	1	1	6	0	145	314	469	428	528	573	681	817	887	993	1137
46	30	32	90	30	1	1	4	15	158	263	336	476	664	493	544				
47	30	35	90	10	1	1	3	8	117	297	481	1054	1198						
48	28	30	90	10	1	1	5	10	85	221	347	464	522	627	699	695	886		
