R205

VEHICLE
NUMBER     CAPACITY
  25         1000

CUSTOMER
CUST NO.   XCOORD.    YCOORD.   DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      35         35          0          0       1000          0   
    1      41         49         10        658        898         10   
    2      35         17          7         93        333         10   
    3      55         45         13        436        676         10   
    4      55         20         19        620        860         10   
    5      15         30         26         20        260         10   
    6      25         30          3        345        585         10   
    7      20         50          5        251        491         10   
    8      10         43          9        323        563         10   
    9      55         60         16        329        569         10   
   10      30         60         16        485        725         10   
   11      20         65         12        146        386         10   
   12      50         35         19        167        407         10   
   13      30         25         23        639        879         10   
   14      15         10         20         32        272         10   
   15      30          5          8        118        358         10   
   16      10         20         19        203        443         10   
   17       5         30          2        682        922         10   
   18      20         40         12        286        526         10   
   19      15         60         17        204        444         10   
   20      45         65          9        504        744         10   
   21      45         20         11        153        393         10   
   22      45         10         18        332        572         10   
   23      55          5         29        146        386         10   
   24      65         35          3        656        896         10   
   25      65         20          6        716        956         10   
   26      45         30         17        508        748         10   
   27      35         40         16         60        300         10   
   28      41         37         16         65        305         10   
   29      64         42          9        132        372         10   
   30      40         60         21        187        427         10   
   31      31         52         27         94        334         10   
   32      35         69         23        599        839         10   
   33      53         52         11         24        264         10   
   34      65         55         14        452        692         10   
   35      63         65          8        630        870         10   
   36       2         60          5         41        281         10   
   37      20         20          8        530        770         10   
   38       5          5         16        234        474         10   
   39      60         12         31         33        273         10   
   40      40         25          9        279        519         10   
   41      42          7          5        334        574         10   
   42      24         12          5         25        265         10   
   43      23          3          7        543        783         10   
   44      11         14         18        167        407         10   
   45       6         38         16         29        269         10   
   46       2         48          1        452        692         10   
   47       8         56         27         48        288         10   
   48      13         52         36        720        960         10   
   49       6         68         30        401        641         10   
   50      47         47         13        475        715         10   
   51      49         58         10        281        521         10   
   52      27         43          9        117        357         10   
   53      37         31         14        332        572         10   
   54      57         29         18        568        808         10   
   55      63         23          2        560        800         10   
   56      53         12          6        519        759         10   
   57      32         12          7        356        596         10   
   58      36         26         18        740        980         10   
   59      21         24         28         17        257         10   
   60      17         34          3        672        912         10   
   61      12         24         13        214        454         10   
   62      24         58         19        113        353         10   
   63      27         69         10         34        274         10   
   64      15         77          9        154        394         10   
   65      62         77         20         49        289         10   
   66      49         73         25        523        763         10   
   67      67          5         25        228        468         10   
   68      56         39         36        575        815         10   
   69      37         47          6        108        348         10   
   70      37         56          5        728        968         10   
   71      57         68         15        198        438         10   
   72      47         16         25         22        262         10   
   73      44         17          9        234        474         10   
   74      46         13          8        622        862         10   
   75      49         11         18        171        411         10   
   76      49         42         13        212        452         10   
   77      53         43         14        730        970         10   
   78      61         52          3        322        562         10   
   79      57         48         23        307        547         10   
   80      56         37          6        728        968         10   
   81      55         54         26        314        554         10   
   82      15         47         16        106        346         10   
   83      14         37         11         53        293         10   
   84      11         31          7        354        594         10   
   85      16         22         41        299        539         10   
   86       4         18         35        307        547         10   
   87      28         18         26        314        554         10   
   88      26         52          9        214        454         10   
   89      26         35         15        718        958         10   
   90      31         67          3        320        560         10   
   91      15         19          1        683        923         10   
   92      22         22          2         18        258         10   
   93      18         24         22        729        969         10   
   94      26         27         27        350        590         10   
   95      25         24         20         42        282         10   
   96      22         27         11        529        769         10   
   97      25         21         12        523        763         10   
   98      19         21         10        125        365         10   
   99      20         26          9        263        503         10   
  100      18         18         17        725        965         10   
