RC105

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        240          0   
    1      25         85         20         71        191         10   
    2      22         75         30         30        150         10   
    3      22         85         10         64        184         10   
    4      20         80         40        151        161         10   
    5      20         85         20         40        160         10   
    6      18         75         20         96        123         10   
    7      15         75         20         35        155         10   
    8      15         80         10        101        111         10   
    9      10         35         20        101        111         10   
   10      10         40         30        123        144         10   
   11       8         40         40         69         79         10   
   12       8         45         20         32        152         10   
   13       5         35         10        152        162         10   
   14       5         45         10         35        117         10   
   15       2         40         20         68         78         10   
   16       0         40         20         59        114         10   
   17       0         45         20        147        180         10   
   18      44          5         20         79        124         10   
   19      42         10         40         58        115         10   
   20      42         15         10        111        162         10   
   21      40          5         10         45        165         10   
   22      40         15         40         94        119         10   
   23      38          5         30         75         85         10   
   24      38         15         10        128        194         10   
   25      35          5         20        171        181         10   
   26      95         30         30         58        171         10   
   27      95         35         20         60         93         10   
   28      92         30         10         55        120         10   
   29      90         35         10         52        112         10   
   30      88         30         10         75        102         10   
   31      88         35         20         50        170         10   
   32      87         30         10        116        175         10   
   33      85         25         10         51         85         10   
   34      85         35         30         62        182         10   
   35      67         85         20        138        169         10   
   36      65         85         40         43         78         10   
   37      65         82         10         69        189         10   
   38      62         80         30         85         95         10   
   39      60         80         10         36         74         10   
   40      60         85         30         87        112         10   
   41      58         75         20         92        121         10   
   42      55         80         10         33         66         10   
   43      55         85         20        117        168         10   
   44      55         82         10         74         84         10   
   45      20         82         10         37         72         10   
   46      18         80         10         98        157         10   
   47       2         45         10         38        109         10   
   48      42          5         10         64        184         10   
   49      42         12         10        109        128         10   
   50      72         35         30         71        191         10   
   51      55         20         19         69        126         10   
   52      25         30          3         25        145         10   
   53      20         50          5        101        111         10   
   54      55         60         16        127        180         10   
   55      30         60         16        150        160         10   
   56      50         35         19        130        159         10   
   57      30         25         23         82        139         10   
   58      15         10         20        172        182         10   
   59      10         20         19         42        162         10   
   60      15         60         17        137        202         10   
   61      45         65          9         55        106         10   
   62      65         35          3         62         72         10   
   63      65         20          6         39        108         10   
   64      45         30         17         53         82         10   
   65      35         40         16         11         43         10   
   66      41         37         16        134        161         10   
   67      64         42          9         80         90         10   
   68      40         60         21        144        173         10   
   69      31         52         27         51         61         10   
   70      35         69         23        172        210         10   
   71      65         55         14         52        107         10   
   72      63         65          8         27        147         10   
   73       2         60          5         65        118         10   
   74      20         20          8        151        161         10   
   75       5          5         16         57        172         10   
   76      60         12         31         85         95         10   
   77      23          3          7        163        173         10   
   78       8         56         27         90        119         10   
   79       6         68         30         99        109         10   
   80      47         47         13        190        222         10   
   81      49         58         10         80        121         10   
   82      27         43          9         14        134         10   
   83      37         31         14         19        139         10   
   84      57         29         18        106        116         10   
   85      63         23          2         42        162         10   
   86      21         24         28         77        126         10   
   87      12         24         13        100        110         10   
   88      24         58         19         67         96         10   
   89      67          5         25        105        177         10   
   90      37         47          6         74        127         10   
   91      49         42         13         97        217         10   
   92      53         43         14         15         25         10   
   93      61         52          3        173        208         10   
   94      57         48         23         50        170         10   
   95      56         37          6         20        140         10   
   96      55         54         26         87        207         10   
   97       4         18         35        112        157         10   
   98      26         52          9         14        134         10   
   99      26         35         15         87         97         10   
  100      31         67          3        200        210         10   
