RC106

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.     DEMAND  READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        240          0   
    1      25         85         20        130        190         10   
    2      22         75         30         35         95         10   
    3      22         85         10         94        154         10   
    4      20         80         40        126        186         10   
    5      20         85         20         40        100         10   
    6      18         75         20         80        140         10   
    7      15         75         20         64        124         10   
    8      15         80         10         76        136         10   
    9      10         35         20         76        136         10   
   10      10         40         30        104        164         10   
   11       8         40         40         44        104         10   
   12       8         45         20         49        109         10   
   13       5         35         10        127        187         10   
   14       5         45         10         35         95         10   
   15       2         40         20         43        103         10   
   16       0         40         20         57        117         10   
   17       0         45         20        129        189         10   
   18      44          5         20         72        132         10   
   19      42         10         40         57        117         10   
   20      42         15         10        107        167         10   
   21      40          5         10         52        112         10   
   22      40         15         40         77        137         10   
   23      38          5         30         50        110         10   
   24      38         15         10        133        193         10   
   25      35          5         20        124        184         10   
   26      95         30         30        100        160         10   
   27      95         35         20         57        117         10   
   28      92         30         10         55        115         10   
   29      90         35         10         52        112         10   
   30      88         30         10         59        119         10   
   31      88         35         20         50        110         10   
   32      87         30         10        116        176         10   
   33      85         25         10         51        111         10   
   34      85         35         30         96        156         10   
   35      67         85         20        124        184         10   
   36      65         85         40         43        103         10   
   37      65         82         10        109        169         10   
   38      62         80         30         60        120         10   
   39      60         80         10         36         96         10   
   40      60         85         30         70        130         10   
   41      58         75         20         77        137         10   
   42      55         80         10         33         93         10   
   43      55         85         20        113        173         10   
   44      55         82         10         49        109         10   
   45      20         82         10         37         97         10   
   46      18         80         10         98        158         10   
   47       2         45         10         38         98         10   
   48      42          5         10        124        184         10   
   49      42         12         10         89        149         10   
   50      72         35         30        101        161         10   
   51      55         20         19         68        128         10   
   52      25         30          3         37         97         10   
   53      20         50          5         76        136         10   
   54      55         60         16        124        184         10   
   55      30         60         16        125        185         10   
   56      50         35         19        115        175         10   
   57      30         25         23         81        141         10   
   58      15         10         20        122        182         10   
   59      10         20         19         42        102         10   
   60      15         60         17        140        200         10   
   61      45         65          9         51        111         10   
   62      65         35          3         37         97         10   
   63      65         20          6         39         99         10   
   64      45         30         17         38         98         10   
   65      35         40         16         11         71         10   
   66      41         37         16        118        178         10   
   67      64         42          9         55        115         10   
   68      40         60         21        129        189         10   
   69      31         52         27         26         86         10   
   70      35         69         23        150        210         10   
   71      65         55         14         50        110         10   
   72      63         65          8         27         87         10   
   73       2         60          5         62        122         10   
   74      20         20          8        126        186         10   
   75       5          5         16         59        119         10   
   76      60         12         31         60        120         10   
   77      23          3          7        120        180         10   
   78       8         56         27         75        135         10   
   79       6         68         30         74        134         10   
   80      47         47         13        162        222         10   
   81      49         58         10         71        131         10   
   82      27         43          9         27         87         10   
   83      37         31         14         20         80         10   
   84      57         29         18         81        141         10   
   85      63         23          2         72        132         10   
   86      21         24         28         72        132         10   
   87      12         24         13         75        135         10   
   88      24         58         19         52        112         10   
   89      67          5         25        117        177         10   
   90      37         47          6         71        131         10   
   91      49         42         13        152        212         10   
   92      53         43         14         14         74         10   
   93      61         52          3        148        208         10   
   94      57         48         23         80        140         10   
   95      56         37          6         20         80         10   
   96      55         54         26        117        177         10   
   97       4         18         35        105        165         10   
   98      26         52          9         31         91         10   
   99      26         35         15         62        122         10   
  100      31         67          3        150        210         10   
